trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-292.74306086766796,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 6}",0
2,False,"{'a': 0.5, 'e': 0.95}",30,0,-139.56590643267438,"{0: 21, 1: 0, 2: 5, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-107.3885570280935,"{0: 18, 1: 3, 2: 7, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-126.13356935666756,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-46.71030403609356,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-155.314541237038,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-45.93977331291589,"{0: 24, 1: 0, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-57.01870678421439,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-157.31924965258457,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-45.971297342284416,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,12,-25.9252606323844,"{0: 4, 1: 1, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-66.2601855410707,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-8.375494074937446,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-97.06996892105431,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-13.028722260481235,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-8.446125264230927,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,7,-26.594881951035674,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-48.305462076648894,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-3.0500598516129758,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,20.292745541092984,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",35,4,11.975238668544444,"{0: 29, 1: 0, 2: 1, 3: 1, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,0,39.17084542152998,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,4.430098286917163,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,32.49021732211644,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",35,0,36.95632830367445,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",30,0,-5.803663503310997,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",30,0,-2.957780463912468,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-7.655929840217251,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,0,-55.96355673173683,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,25.69343623975555,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
