trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-192.61396713063516,"{0: 17, 1: 0, 2: 9, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.999}",25,1,-129.73917818585238,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.998}",25,0,-69.428477765253,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.997}",20,0,-111.08131210126776,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.996}",25,0,-150.98970128014125,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.995}",20,0,-40.93401303188601,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.994}",25,0,-74.25525527385747,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.993}",35,2,-136.84948976461285,"{0: 23, 1: 1, 2: 6, 3: 1, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.992}",30,10,-74.51973148269668,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.991}",30,0,-106.94000746866384,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.99}",20,0,-249.39493944072458,"{0: 9, 1: 1, 2: 5, 3: 0, 4: 5}",0
12,False,"{'a': 0.5, 'e': 0.989}",20,0,-57.52569859690313,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.988}",25,0,-203.67890626107132,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.987}",30,0,-137.30614211298814,"{0: 19, 1: 3, 2: 4, 3: 3, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.986}",25,0,-93.3949383826448,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.985}",20,0,-51.00244434597257,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.984}",30,10,-95.43576866468783,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.983}",25,0,-188.3281652657216,"{0: 11, 1: 4, 2: 6, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.982}",30,0,-145.1074664377789,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.981}",25,0,-108.63706109481089,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.98}",25,0,-228.23152518314419,"{0: 9, 1: 4, 2: 8, 3: 1, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.979}",20,0,-43.94681247758872,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.978}",25,0,-141.32828560331416,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.977}",20,0,-58.244398044031385,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.976}",35,0,-168.74272254264238,"{0: 20, 1: 6, 2: 6, 3: 1, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.975}",25,0,-112.65748534085115,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.974}",20,0,-92.11275357048267,"{0: 12, 1: 4, 2: 1, 3: 2, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.973}",20,8,-59.369651065630926,"{0: 6, 1: 5, 2: 0, 3: 0, 4: 1}",1
29,False,"{'a': 0.5, 'e': 0.972}",20,0,-183.92546925290307,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
30,False,"{'a': 0.5, 'e': 0.971}",30,13,-76.27089237766593,"{0: 9, 1: 2, 2: 4, 3: 2, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.97}",20,0,-110.5134423388834,"{0: 9, 1: 2, 2: 7, 3: 2, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.969}",25,0,-171.78803413564995,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.968}",20,0,-68.92994195040139,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.967}",25,0,-140.0366211128866,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.966}",20,5,-59.75593928769822,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 1}",1
36,False,"{'a': 0.5, 'e': 0.965}",25,5,-102.46998391321888,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.964}",20,0,-61.57296654953628,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.963}",25,0,-137.4501979425595,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.962}",20,0,-41.62714304291853,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.961}",30,0,-95.32638058054872,"{0: 16, 1: 4, 2: 10, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.96}",30,0,-176.77920026332248,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.959}",35,5,-72.57346935838846,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",1
43,False,"{'a': 0.5, 'e': 0.958}",25,0,-253.89094582413273,"{0: 8, 1: 3, 2: 9, 3: 2, 4: 3}",0
44,False,"{'a': 0.5, 'e': 0.957}",25,9,-171.40389298557184,"{0: 5, 1: 0, 2: 8, 3: 1, 4: 2}",1
45,False,"{'a': 0.5, 'e': 0.956}",25,15,2.1734171345932634,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.955}",20,0,-159.36417382778183,"{0: 9, 1: 5, 2: 2, 3: 2, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.954}",25,9,-4.800860998264683,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.953}",35,0,-183.8739042852744,"{0: 23, 1: 3, 2: 5, 3: 1, 4: 3}",0
49,False,"{'a': 0.5, 'e': 0.952}",20,0,-79.83726798552625,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.951}",20,0,-112.53193970816749,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.95}",20,0,-85.75071081489499,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.949}",20,0,-93.6042657089989,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.948}",30,0,-107.77960733979809,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.947}",30,0,-158.23016136703387,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.946}",20,0,-84.3172361282007,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.945}",25,0,-135.9468795227126,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.944}",25,0,-62.644985909776494,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.943}",25,0,-179.0531670752677,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
59,False,"{'a': 0.5, 'e': 0.942}",30,0,-159.3348110123756,"{0: 17, 1: 2, 2: 7, 3: 3, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.941}",30,0,-81.81354399314384,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.94}",25,0,-104.37135274644338,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.9390000000000001}",20,0,-158.14402073134605,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
63,False,"{'a': 0.5, 'e': 0.938}",25,0,-96.7673055505922,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.937}",20,0,-125.59947086639623,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.9359999999999999}",20,0,-75.3657194918734,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.935}",20,0,-187.95654254217695,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
67,False,"{'a': 0.5, 'e': 0.9339999999999999}",25,0,-127.51413999312807,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
68,False,"{'a': 0.5, 'e': 0.933}",30,0,-55.891541050906426,"{0: 23, 1: 4, 2: 0, 3: 3, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.9319999999999999}",25,0,-266.7272456367512,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 5}",0
70,False,"{'a': 0.5, 'e': 0.931}",25,0,-48.858997476131,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.9299999999999999}",30,0,-156.04169881942772,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
72,False,"{'a': 0.5, 'e': 0.929}",25,0,-76.5447335403943,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.9279999999999999}",20,0,-91.35331075203013,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.927}",30,15,-19.362638489332276,"{0: 10, 1: 3, 2: 2, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.926}",20,0,-132.0920269403401,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.925}",30,0,-177.8753100566839,"{0: 18, 1: 1, 2: 7, 3: 2, 4: 2}",0
77,False,"{'a': 0.5, 'e': 0.924}",25,0,-101.23794709895668,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.923}",30,0,-171.96252169188094,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
79,False,"{'a': 0.5, 'e': 0.922}",30,9,-48.06630818105875,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.921}",25,0,-69.86098147293286,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.92}",35,3,-219.38474615688742,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 3}",1
82,False,"{'a': 0.5, 'e': 0.919}",20,0,-80.0555617694867,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.918}",25,0,-134.06797461253893,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.917}",25,0,-98.37772370560668,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.916}",20,0,-140.17712498428696,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
86,False,"{'a': 0.5, 'e': 0.915}",25,0,-171.9205221393465,"{0: 15, 1: 4, 2: 1, 3: 2, 4: 3}",0
87,False,"{'a': 0.5, 'e': 0.914}",20,0,-68.9444930007413,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.913}",25,2,-128.93368642675074,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 2}",1
89,False,"{'a': 0.5, 'e': 0.912}",20,0,-69.12255911841675,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.911}",30,0,-101.7356586410854,"{0: 18, 1: 2, 2: 9, 3: 1, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.91}",20,0,-66.12978530339554,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.909}",20,0,-33.77224015088768,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.908}",20,0,-133.25287940592415,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
94,False,"{'a': 0.5, 'e': 0.907}",20,0,-55.916956968095946,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.906}",25,3,-87.0237751070809,"{0: 16, 1: 0, 2: 3, 3: 2, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.905}",20,0,-43.75025866761955,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.904}",30,0,-93.28760643075125,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
98,False,"{'a': 0.5, 'e': 0.903}",30,0,-113.01359451943583,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
99,False,"{'a': 0.5, 'e': 0.902}",25,0,-65.54460108068206,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.901}",35,0,-202.4381467689346,"{0: 18, 1: 4, 2: 9, 3: 2, 4: 2}",0
101,False,"{'a': 0.5, 'e': 0.9}",25,0,-92.04420109816076,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",1
102,False,"{'a': 0.5, 'e': 0.899}",25,0,-176.65359621264975,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
103,False,"{'a': 0.5, 'e': 0.898}",20,0,-139.09237054651064,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
104,False,"{'a': 0.5, 'e': 0.897}",20,0,-90.48871009189583,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.896}",20,0,-64.03377960652016,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.895}",30,0,-137.8849977535234,"{0: 13, 1: 5, 2: 11, 3: 1, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.894}",20,2,-30.04314289266439,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.893}",20,0,-56.796399378338975,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
