trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.25, 'e': 1.0}",35,0,-182.22422944211942,"{0: 20, 1: 1, 2: 10, 3: 3, 4: 1}",0
2,False,"{'a': 0.25, 'e': 0.999995500003375}",25,0,-77.67727388512102,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
3,False,"{'a': 0.25, 'e': 0.999982000054}",25,0,-179.2720853427312,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
4,False,"{'a': 0.25, 'e': 0.9999595002733742}",25,0,-146.86758022365274,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.25, 'e': 0.9999280008639958}",20,0,-73.82573557810912,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.25, 'e': 0.9998875021093592}",25,0,-155.57567851701026,"{0: 14, 1: 6, 2: 2, 3: 0, 4: 3}",0
7,False,"{'a': 0.25, 'e': 0.9998380043739528}",25,20,5.675214606882968,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.25, 'e': 0.9997795081032559}",25,0,-112.11638165301198,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.25, 'e': 0.9997120138237345}",20,0,-36.04200911365514,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.25, 'e': 0.9996355221428369}",20,0,-82.93150980891357,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
11,False,"{'a': 0.25, 'e': 0.9995500337489875}",20,0,-110.31604527508907,"{0: 12, 1: 3, 2: 1, 3: 3, 4: 1}",0
12,False,"{'a': 0.25, 'e': 0.9994555494115813}",30,0,-55.91521556988051,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
13,False,"{'a': 0.25, 'e': 0.9993520699809768}",25,8,-67.33414504699282,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 1}",1
14,False,"{'a': 0.25, 'e': 0.999239596388488}",30,0,-153.78768717595162,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
15,False,"{'a': 0.25, 'e': 0.9991181296463766}",25,19,8.528486087805746,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.25, 'e': 0.9989876708478425}",25,0,-190.82655051884424,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
17,False,"{'a': 0.25, 'e': 0.9988482211670138}",25,0,-95.32207306849584,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.25, 'e': 0.9986997818589368}",20,0,-100.17914992853926,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
19,False,"{'a': 0.25, 'e': 0.9985423542595644}",30,0,-145.2292497957421,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
20,False,"{'a': 0.25, 'e': 0.9983759397857438}",25,0,-108.36743996300034,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
