trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,-100,-445.6526192079086,"{0: 73, 1: 21, 2: 23, 3: 5, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9875}",30,-100,-605.1596407778916,"{0: 77, 1: 10, 2: 33, 3: 3, 4: 7}",0
3,False,"{'a': 0.5, 'e': 0.975}",25,-97,-580.1280711421022,"{0: 75, 1: 14, 2: 20, 3: 5, 4: 8}",0
4,False,"{'a': 0.5, 'e': 0.9625}",25,-15,-77.3368981820502,"{0: 29, 1: 4, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.95}",30,-100,-635.0738104669834,"{0: 88, 1: 5, 2: 20, 3: 7, 4: 10}",0
6,False,"{'a': 0.5, 'e': 0.9375}",35,25,1.2345600041817901,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.925}",25,-35,-343.52852850314383,"{0: 35, 1: 5, 2: 13, 3: 2, 4: 5}",0
8,False,"{'a': 0.5, 'e': 0.9125}",20,-87,-313.82371431651853,"{0: 75, 1: 10, 2: 15, 3: 3, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.9}",25,5,-63.16953499624219,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.8875}",20,-7,-153.2933910435738,"{0: 17, 1: 2, 2: 3, 3: 3, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.875}",25,-100,-711.1346753120057,"{0: 82, 1: 8, 2: 15, 3: 8, 4: 12}",0
12,False,"{'a': 0.5, 'e': 0.8625}",20,1,-81.22581100544524,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.85}",25,-9,-119.90329762454746,"{0: 24, 1: 3, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8375}",25,-73,-161.31196647185382,"{0: 75, 1: 9, 2: 11, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.825}",25,-37,-206.56323106964652,"{0: 45, 1: 4, 2: 8, 3: 1, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.8125}",30,-57,-247.25447838935665,"{0: 59, 1: 9, 2: 14, 3: 2, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.8}",20,-12,-47.09409790478926,"{0: 22, 1: 3, 2: 7, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.7875}",20,-33,-189.6669995355435,"{0: 39, 1: 1, 2: 7, 3: 3, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.775}",25,-100,-426.78663422854123,"{0: 96, 1: 6, 2: 11, 3: 3, 4: 9}",0
20,False,"{'a': 0.5, 'e': 0.7625}",30,-89,-361.86649100225793,"{0: 81, 1: 10, 2: 22, 3: 1, 4: 5}",0
21,False,"{'a': 0.5, 'e': 0.75}",20,-70,-249.39102336909448,"{0: 68, 1: 4, 2: 11, 3: 3, 4: 4}",0
22,False,"{'a': 0.5, 'e': 0.7375}",30,-100,-506.93885608469895,"{0: 93, 1: 3, 2: 19, 3: 7, 4: 8}",0
23,False,"{'a': 0.5, 'e': 0.725}",30,-66,-185.17818408343746,"{0: 74, 1: 6, 2: 9, 3: 5, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.7124999999999999}",20,-59,-259.95972594112783,"{0: 60, 1: 4, 2: 6, 3: 4, 4: 5}",0
25,False,"{'a': 0.5, 'e': 0.7}",20,-96,-276.4022209952132,"{0: 84, 1: 10, 2: 14, 3: 5, 4: 3}",0
26,False,"{'a': 0.5, 'e': 0.6875}",25,12,-89.84280550338661,"{0: 7, 1: 0, 2: 4, 3: 1, 4: 1}",1
27,False,"{'a': 0.5, 'e': 0.675}",30,-94,-361.6048868235804,"{0: 90, 1: 8, 2: 16, 3: 5, 4: 5}",0
28,False,"{'a': 0.5, 'e': 0.6625}",25,-84,-287.47698363760384,"{0: 79, 1: 9, 2: 14, 3: 2, 4: 5}",0
29,False,"{'a': 0.5, 'e': 0.6499999999999999}",35,-1,-112.51747339874989,"{0: 22, 1: 3, 2: 9, 3: 2, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.6375}",30,-32,-156.36166159356821,"{0: 48, 1: 2, 2: 8, 3: 1, 4: 3}",0
31,False,"{'a': 0.5, 'e': 0.625}",25,-92,-279.38223216125965,"{0: 89, 1: 3, 2: 18, 3: 3, 4: 4}",0
32,False,"{'a': 0.5, 'e': 0.6125}",20,-3,-35.62510100248006,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.6}",20,-19,-28.69055553332312,"{0: 34, 1: 2, 2: 1, 3: 1, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.5874999999999999}",20,-100,-351.22946514794876,"{0: 91, 1: 4, 2: 14, 3: 5, 4: 6}",0
35,False,"{'a': 0.5, 'e': 0.575}",30,-100,-136.17130196777964,"{0: 107, 1: 7, 2: 12, 3: 1, 4: 3}",0
36,False,"{'a': 0.5, 'e': 0.5625}",25,-79,-345.565480558677,"{0: 79, 1: 6, 2: 10, 3: 1, 4: 8}",0
37,False,"{'a': 0.5, 'e': 0.55}",25,-100,-142.31628138190317,"{0: 103, 1: 6, 2: 10, 3: 3, 4: 3}",0
38,False,"{'a': 0.5, 'e': 0.5375}",25,-22,-99.5847670445953,"{0: 34, 1: 1, 2: 9, 3: 3, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.5249999999999999}",25,13,-22.40595433613232,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
40,False,"{'a': 0.5, 'e': 0.5125}",25,-30,-124.4796694331537,"{0: 45, 1: 1, 2: 5, 3: 1, 4: 3}",0
41,False,"{'a': 0.5, 'e': 0.5}",25,-100,-238.0926779340184,"{0: 99, 1: 3, 2: 16, 3: 3, 4: 4}",0
42,False,"{'a': 0.5, 'e': 0.48749999999999993}",20,-100,-57.39864965437739,"{0: 103, 1: 4, 2: 10, 3: 1, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.475}",20,-77,-72.76699414666246,"{0: 85, 1: 3, 2: 5, 3: 1, 4: 3}",0
44,False,"{'a': 0.5, 'e': 0.4625}",25,-89,-49.46115950204242,"{0: 97, 1: 6, 2: 8, 3: 1, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.44999999999999996}",30,-49,-111.70358128766726,"{0: 60, 1: 5, 2: 11, 3: 2, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.4375}",20,-100,-223.72598590486191,"{0: 101, 1: 4, 2: 6, 3: 3, 4: 6}",0
47,False,"{'a': 0.5, 'e': 0.42499999999999993}",25,3,-91.28887065169522,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 2}",1
48,False,"{'a': 0.5, 'e': 0.4125}",30,-17,6.363003046974372,"{0: 42, 1: 1, 2: 3, 3: 1, 4: 0}",0
