trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.52376904036336,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-153.24601328109503,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,5,-133.25358183047356,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",1
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.6382079851536,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-71.50749837388094,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,12,-80.0664742581482,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.94849596578355,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,6,-106.91620705382503,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-47.780257596580434,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-91.25484581607233,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-73.17946000797471,"{0: 13, 1: 6, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-182.5986977651751,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.60795733989536,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,11,-15.269268336328436,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,12,1.6382934393002528,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-152.23268829956365,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-145.2295235317124,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.57186010710697,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-106.26573599819754,"{0: 12, 1: 3, 2: 9, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.117033039684124,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-221.2969198696311,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 5}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,12,10.598923977301624,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-145.08244999263883,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-57.58137612587112,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-288.8380364692206,"{0: 10, 1: 4, 2: 8, 3: 6, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-90.91335988632648,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-79.76688688098218,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-82.45733673415066,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",35,0,-304.80407231416655,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 6}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-189.60615270604902,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",0
